"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected"
1;1;1;417;417;1;35;35;2;0.1;0;0;1
1;2;419;516;98;35;43;9;2;0.1;0;0;1
1;3;518;903;386;44;76;33;2;0.1;0;0;1
3;1;1;65;65;1;6;6;2;0.1;0;0;1
3;2;67;158;92;6;14;9;2;0.1;0;0;1
3;3;160;984;825;14;82;69;2;0.1;0;0;1
4;1;1;60;60;1;5;5;2;0.1;0;0;1
5;1;1;577;577;1;49;49;2;0.1;0;0;1
5;2;579;687;109;49;58;10;2;0.1;0;0;1
8;1;1;689;689;1;58;58;2;0.1;0;0;1
8;2;691;758;68;58;64;7;2;0.1;0;0;1
8;3;760;898;139;64;75;12;2;0.1;0;0;1
8;4;900;980;81;75;82;8;2;0.1;0;0;1
10;1;1;138;138;1;12;12;2;0.1;0;0;1
10;2;140;146;7;12;13;2;2;0.1;0;0;1
11;1;1;644;644;1;54;54;2;0.1;0;0;1
11;2;646;783;138;54;66;13;2;0.1;0;0;1
12;1;1;454;454;1;38;38;2;0.1;0;0;1
13;1;1;140;140;1;12;12;2;0.1;0;0;1
13;2;142;721;580;12;61;50;2;0.1;0;0;1
14;1;1;233;233;1;20;20;2;0.1;0;0;1
14;2;235;637;403;20;54;35;2;0.1;0;0;1
14;3;639;642;4;54;54;1;2;0.1;0;0;1
15;1;1;35;35;1;3;3;2;0.1;0;0;1
15;2;37;186;150;4;16;13;2;0.1;0;0;1
15;3;188;731;544;16;61;46;2;0.1;0;0;1
15;4;733;742;10;62;62;1;2;0.1;0;0;1
15;5;744;802;59;62;67;6;2;0.1;0;0;1
16;1;1;140;140;1;12;12;2;0.1;0;0;1
16;2;142;709;568;12;60;49;2;0.1;0;0;1
17;1;1;818;818;1;69;69;2;0.1;0;0;1
18;1;1;348;348;1;29;29;2;0.1;0;0;1
19;1;1;142;142;1;12;12;2;0.1;0;0;1
20;1;1;360;360;1;30;30;2;0.1;0;0;1
20;2;362;501;140;31;42;12;2;0.1;0;0;1
20;3;503;506;4;42;43;2;2;0.1;0;0;1
20;4;508;615;108;43;52;10;2;0.1;0;0;1
20;5;617;781;165;52;66;15;2;0.1;0;0;1
21;1;1;95;95;1;8;8;2;0.1;0;0;1
22;1;1;213;213;1;18;18;2;0.1;0;0;1
22;2;215;268;54;18;23;6;2;0.1;0;0;1
23;1;1;713;713;1;60;60;2;0.1;0;0;1
25;1;1;706;706;1;59;59;2;0.1;0;0;1
25;2;708;903;196;59;76;18;2;0.1;0;0;1
26;1;1;200;200;1;17;17;2;0.1;0;0;1
26;2;202;522;321;17;44;28;2;0.1;0;0;1
28;1;1;269;269;1;23;23;2;0.1;0;0;1
28;2;271;741;471;23;62;40;2;0.1;0;0;1
29;1;1;683;683;1;57;57;2;0.1;0;0;1
29;2;685;909;225;58;76;19;2;0.1;0;0;1
30;1;1;356;356;1;30;30;2;0.1;0;0;1
30;2;358;372;15;30;31;2;2;0.1;0;0;1
30;3;374;466;93;32;39;8;2;0.1;0;0;1
30;4;468;729;262;39;61;23;2;0.1;0;0;1
30;5;731;788;58;61;66;6;2;0.1;0;0;1
30;6;790;853;64;66;72;7;2;0.1;0;0;1
31;1;1;131;131;1;11;11;2;0.1;0;0;1
31;2;133;499;367;12;42;31;2;0.1;0;0;1
31;3;501;617;117;42;52;11;2;0.1;0;0;1
32;1;1;455;455;1;38;38;2;0.1;0;0;1
32;2;457;639;183;39;54;16;2;0.1;0;0;1
32;3;641;701;61;54;59;6;2;0.1;0;0;1
33;1;1;155;155;1;13;13;2;0.1;0;0;1
34;1;1;88;88;1;8;8;2;0.1;0;0;1
34;2;90;867;778;8;73;66;2;0.1;0;0;1
35;1;1;133;133;1;12;12;2;0.1;0;0;1
35;2;135;777;643;12;65;54;2;0.1;0;0;1
35;3;779;803;25;65;67;3;2;0.1;0;0;1
35;4;805;960;156;68;80;13;2;0.1;0;0;1
36;1;1;681;681;1;57;57;2;0.1;0;0;1
36;2;683;950;268;57;80;24;2;0.1;0;0;1
37;1;1;479;479;1;40;40;2;0.1;0;0;1
38;1;1;426;426;1;36;36;2;0.1;0;0;1
39;1;1;94;94;1;8;8;2;0.1;0;0;1
40;1;1;249;249;1;21;21;2;0.1;0;0;1
41;1;1;892;892;1;75;75;2;0.1;0;0;1
42;1;1;377;377;1;32;32;2;0.1;0;0;1
42;2;379;939;561;32;79;48;2;0.1;0;0;1
43;1;1;179;179;1;15;15;2;0.1;0;0;1
43;2;181;516;336;16;43;28;2;0.1;0;0;1
43;3;518;713;196;44;60;17;2;0.1;0;0;1
43;4;715;816;102;60;68;9;2;0.1;0;0;1
44;1;1;1;1;1;1;1;2;0.1;0;0;1
44;2;3;17;15;1;2;2;2;0.1;0;0;1
44;3;19;37;19;2;4;3;2;0.1;0;0;1
44;4;39;307;269;4;26;23;2;0.1;0;0;1
44;5;309;616;308;26;52;27;2;0.1;0;0;1
45;1;1;289;289;1;25;25;2;0.1;0;0;1
45;2;291;517;227;25;44;20;2;0.1;0;0;1
46;1;1;373;373;1;32;32;2;0.1;0;0;1
47;1;1;48;48;1;4;4;2;0.1;0;0;1
47;2;50;314;265;5;27;23;2;0.1;0;0;1
47;3;316;319;4;27;27;1;2;0.1;0;0;1
47;4;321;999;679;27;84;58;2;0.1;0;0;1
49;1;1;34;34;1;3;3;2;0.1;0;0;1
49;2;36;156;121;3;13;11;2;0.1;0;0;1
49;3;158;540;383;14;45;32;2;0.1;0;0;1
49;4;542;713;172;46;60;15;2;0.1;0;0;1
49;5;715;736;22;60;62;3;2;0.1;0;0;1
49;6;738;934;197;62;78;17;2;0.1;0;0;1
51;1;1;29;29;1;3;3;2;0.1;0;0;1
52;1;1;148;148;1;13;13;2;0.1;0;0;1
52;2;150;172;23;13;15;3;2;0.1;0;0;1
52;3;174;352;179;15;30;16;2;0.1;0;0;1
52;4;354;509;156;30;43;14;2;0.1;0;0;1
52;5;511;625;115;43;53;11;2;0.1;0;0;1
