"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected";"len_reduction"
47;4;321;999;679;27;84;58;2;0.1;1;0;1;0
48;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
48;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
48;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
49;1;1;34;34;1;3;3;2;0.1;0;0;1;1
49;1;1;34;34;1;3;3;2;0.1;0.5;0;1;0.5
49;1;1;34;34;1;3;3;2;0.1;1;0;1;0
49;1;936;1000;65;78;84;7;2;0.1;0;0;0;1
49;1;936;1000;65;78;84;7;2;0.1;0.5;0;0;0.5
49;1;936;1000;65;78;84;7;2;0.1;1;0;0;0
49;2;36;156;121;3;13;11;2;0.1;0;0;1;1
49;2;36;156;121;3;13;11;2;0.1;0.5;0;1;0.5
49;2;36;156;121;3;13;11;2;0.1;1;0;1;0
49;3;158;540;383;14;45;32;2;0.1;0;0;1;1
49;3;158;540;383;14;45;32;2;0.1;0.5;0;1;0.5
49;3;158;540;383;14;45;32;2;0.1;1;0;1;0
49;4;542;713;172;46;60;15;2;0.1;0;0;1;1
49;4;542;713;172;46;60;15;2;0.1;0.5;0;1;0.5
49;4;542;713;172;46;60;15;2;0.1;1;0;1;0
49;5;715;736;22;60;62;3;2;0.1;0;0;1;1
49;5;715;736;22;60;62;3;2;0.1;0.5;0;1;0.5
49;5;715;736;22;60;62;3;2;0.1;1;0;1;0
49;6;738;934;197;62;78;17;2;0.1;0;0;1;1
49;6;738;934;197;62;78;17;2;0.1;0.5;0;1;0.5
49;6;738;934;197;62;78;17;2;0.1;1;0;1;0
50;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
50;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
50;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
51;1;1;29;29;1;3;3;2;0.1;0;0;1;1
51;1;1;29;29;1;3;3;2;0.1;0.5;0;1;0.5
51;1;1;29;29;1;3;3;2;0.1;1;0;1;0
51;1;31;1000;970;3;84;82;2;0.1;0;0;0;1
51;1;31;1000;970;3;84;82;2;0.1;0.5;0;0;0.5
51;1;31;1000;970;3;84;82;2;0.1;1;0;0;0
52;1;1;148;148;1;13;13;2;0.1;0;0;1;1
52;1;1;148;148;1;13;13;2;0.1;0.5;0;1;0.5
52;1;1;148;148;1;13;13;2;0.1;1;0;1;0
52;1;627;1000;374;53;84;32;2;0.1;0;0;0;1
52;1;627;1000;374;53;84;32;2;0.1;0.5;0;0;0.5
52;1;627;1000;374;53;84;32;2;0.1;1;0;0;0
52;2;150;172;23;13;15;3;2;0.1;0;0;1;1
52;2;150;172;23;13;15;3;2;0.1;0.5;0;1;0.5
52;2;150;172;23;13;15;3;2;0.1;1;0;1;0
52;3;174;352;179;15;30;16;2;0.1;0;0;1;1
52;3;174;352;179;15;30;16;2;0.1;0.5;0;1;0.5
52;3;174;352;179;15;30;16;2;0.1;1;0;1;0
52;4;354;509;156;30;43;14;2;0.1;0;0;1;1
52;4;354;509;156;30;43;14;2;0.1;0.5;0;1;0.5
52;4;354;509;156;30;43;14;2;0.1;1;0;1;0
52;5;511;625;115;43;53;11;2;0.1;0;0;1;1
52;5;511;625;115;43;53;11;2;0.1;0.5;0;1;0.5
52;5;511;625;115;43;53;11;2;0.1;1;0;1;0
53;1;1;280;280;1;24;24;2;0.1;0;0;1;1
53;1;1;280;280;1;24;24;2;0.1;0.5;0;1;0.5
53;1;1;280;280;1;24;24;2;0.1;1;0;1;0
53;1;808;1000;193;68;84;17;2;0.1;0;0;0;1
53;1;808;1000;193;68;84;17;2;0.1;0.5;0;0;0.5
53;1;808;1000;193;68;84;17;2;0.1;1;0;0;0
53;2;282;550;269;24;46;23;2;0.1;0;0;1;1
53;2;282;550;269;24;46;23;2;0.1;0.5;0;1;0.5
53;2;282;550;269;24;46;23;2;0.1;1;0;1;0
53;3;552;806;255;46;68;23;2;0.1;0;0;1;1
53;3;552;806;255;46;68;23;2;0.1;0.5;0;1;0.5
53;3;552;806;255;46;68;23;2;0.1;1;0;1;0
54;1;1;23;23;1;2;2;2;0.1;0;0;1;1
54;1;1;23;23;1;2;2;2;0.1;0.5;0;1;0.5
54;1;1;23;23;1;2;2;2;0.1;1;0;1;0
54;1;25;1000;976;3;84;82;2;0.1;0;0;0;1
54;1;25;1000;976;3;84;82;2;0.1;0.5;0;0;0.5
54;1;25;1000;976;3;84;82;2;0.1;1;0;0;0
55;1;1;108;108;1;9;9;2;0.1;0;0;1;1
55;1;1;108;108;1;9;9;2;0.1;0.5;0;1;0.5
55;1;1;108;108;1;9;9;2;0.1;1;0;1;0
55;1;110;1000;891;10;84;75;2;0.1;0;0;0;1
55;1;110;1000;891;10;84;75;2;0.1;0.5;0;0;0.5
55;1;110;1000;891;10;84;75;2;0.1;1;0;0;0
56;1;1;484;484;1;41;41;2;0.1;0;0;1;1
56;1;1;484;484;1;41;41;2;0.1;0.5;0;1;0.5
56;1;1;484;484;1;41;41;2;0.1;1;0;1;0
56;1;697;1000;304;59;84;26;2;0.1;0;0;0;1
56;1;697;1000;304;59;84;26;2;0.1;0.5;0;0;0.5
56;1;697;1000;304;59;84;26;2;0.1;1;0;0;0
56;2;486;695;210;41;58;18;2;0.1;0;0;1;1
56;2;486;695;210;41;58;18;2;0.1;0.5;0;1;0.5
56;2;486;695;210;41;58;18;2;0.1;1;0;1;0
57;1;1;55;55;1;5;5;2;0.1;0;0;1;1
57;1;1;55;55;1;5;5;2;0.1;0.5;0;1;0.5
57;1;1;55;55;1;5;5;2;0.1;1;0;1;0
57;1;879;1000;122;74;84;11;2;0.1;0;0;0;1
57;1;879;1000;122;74;84;11;2;0.1;0.5;0;0;0.5
57;1;879;1000;122;74;84;11;2;0.1;1;0;0;0
57;2;57;237;181;5;20;16;2;0.1;0;0;1;1
57;2;57;237;181;5;20;16;2;0.1;0.5;0;1;0.5
57;2;57;237;181;5;20;16;2;0.1;1;0;1;0
57;3;239;749;511;20;63;44;2;0.1;0;0;1;1
57;3;239;749;511;20;63;44;2;0.1;0.5;0;1;0.5
57;3;239;749;511;20;63;44;2;0.1;1;0;1;0
57;4;751;877;127;63;74;12;2;0.1;0;0;1;1
57;4;751;877;127;63;74;12;2;0.1;0.5;0;1;0.5
57;4;751;877;127;63;74;12;2;0.1;1;0;1;0
58;1;1;776;776;1;65;65;2;0.1;0;0;1;1
58;1;1;776;776;1;65;65;2;0.1;0.5;0;1;0.5
58;1;1;776;776;1;65;65;2;0.1;1;0;1;0
58;1;778;1000;223;65;84;20;2;0.1;0;0;0;1
58;1;778;1000;223;65;84;20;2;0.1;0.5;0;0;0.5
58;1;778;1000;223;65;84;20;2;0.1;1;0;0;0
59;1;1;319;319;1;27;27;2;0.1;0;0;1;1
59;1;1;319;319;1;27;27;2;0.1;0.5;0;1;0.5
59;1;1;319;319;1;27;27;2;0.1;1;0;1;0
59;1;321;1000;680;27;84;58;2;0.1;0;0;0;1
59;1;321;1000;680;27;84;58;2;0.1;0.5;0;0;0.5
59;1;321;1000;680;27;84;58;2;0.1;1;0;0;0
60;1;1;796;796;1;67;67;2;0.1;0;0;1;1
60;1;1;796;796;1;67;67;2;0.1;0.5;0;1;0.5
60;1;1;796;796;1;67;67;2;0.1;1;0;1;0
60;1;798;1000;203;67;84;18;2;0.1;0;0;0;1
60;1;798;1000;203;67;84;18;2;0.1;0.5;0;0;0.5
60;1;798;1000;203;67;84;18;2;0.1;1;0;0;0
61;1;1;695;695;1;58;58;2;0.1;0;0;1;1
61;1;1;695;695;1;58;58;2;0.1;0.5;0;1;0.5
61;1;1;695;695;1;58;58;2;0.1;1;0;1;0
61;1;697;1000;304;59;84;26;2;0.1;0;0;0;1
61;1;697;1000;304;59;84;26;2;0.1;0.5;0;0;0.5
61;1;697;1000;304;59;84;26;2;0.1;1;0;0;0
62;1;1;971;971;1;81;81;2;0.1;0;0;1;1
62;1;1;971;971;1;81;81;2;0.1;0.5;0;1;0.5
62;1;1;971;971;1;81;81;2;0.1;1;0;1;0
62;1;973;1000;28;82;84;3;2;0.1;0;0;0;1
62;1;973;1000;28;82;84;3;2;0.1;0.5;0;0;0.5
62;1;973;1000;28;82;84;3;2;0.1;1;0;0;0
63;1;1;874;874;1;73;73;2;0.1;0;0;1;1
63;1;1;874;874;1;73;73;2;0.1;0.5;0;1;0.5
63;1;1;874;874;1;73;73;2;0.1;1;0;1;0
63;1;876;1000;125;73;84;12;2;0.1;0;0;0;1
63;1;876;1000;125;73;84;12;2;0.1;0.5;0;0;0.5
63;1;876;1000;125;73;84;12;2;0.1;1;0;0;0
64;1;1;928;928;1;78;78;2;0.1;0;0;1;1
64;1;1;928;928;1;78;78;2;0.1;0.5;0;1;0.5
64;1;1;928;928;1;78;78;2;0.1;1;0;1;0
64;1;930;1000;71;78;84;7;2;0.1;0;0;0;1
64;1;930;1000;71;78;84;7;2;0.1;0.5;0;0;0.5
64;1;930;1000;71;78;84;7;2;0.1;1;0;0;0
65;1;1;387;387;1;33;33;2;0.1;0;0;1;1
65;1;1;387;387;1;33;33;2;0.1;0.5;0;1;0.5
65;1;1;387;387;1;33;33;2;0.1;1;0;1;0
65;1;965;1000;36;81;84;4;2;0.1;0;0;0;1
65;1;965;1000;36;81;84;4;2;0.1;0.5;0;0;0.5
65;1;965;1000;36;81;84;4;2;0.1;1;0;0;0
65;2;389;479;91;33;40;8;2;0.1;0;0;1;1
65;2;389;479;91;33;40;8;2;0.1;0.5;0;1;0.5
65;2;389;479;91;33;40;8;2;0.1;1;0;1;0
65;3;481;570;90;41;48;8;2;0.1;0;0;1;1
65;3;481;570;90;41;48;8;2;0.1;0.5;0;1;0.5
65;3;481;570;90;41;48;8;2;0.1;1;0;1;0
65;4;572;963;392;48;81;34;2;0.1;0;0;1;1
65;4;572;963;392;48;81;34;2;0.1;0.5;0;1;0.5
65;4;572;963;392;48;81;34;2;0.1;1;0;1;0
66;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
66;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
66;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
67;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
67;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
67;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
68;1;1;173;173;1;15;15;2;0.1;0;0;1;1
68;1;1;173;173;1;15;15;2;0.1;0.5;0;1;0.5
68;1;1;173;173;1;15;15;2;0.1;1;0;1;0
68;1;741;1000;260;62;84;23;2;0.1;0;0;0;1
68;1;741;1000;260;62;84;23;2;0.1;0.5;0;0;0.5
68;1;741;1000;260;62;84;23;2;0.1;1;0;0;0
68;2;175;275;101;15;23;9;2;0.1;0;0;1;1
68;2;175;275;101;15;23;9;2;0.1;0.5;0;1;0.5
68;2;175;275;101;15;23;9;2;0.1;1;0;1;0
68;3;277;572;296;24;48;25;2;0.1;0;0;1;1
68;3;277;572;296;24;48;25;2;0.1;0.5;0;1;0.5
68;3;277;572;296;24;48;25;2;0.1;1;0;1;0
68;4;574;739;166;48;62;15;2;0.1;0;0;1;1
68;4;574;739;166;48;62;15;2;0.1;0.5;0;1;0.5
68;4;574;739;166;48;62;15;2;0.1;1;0;1;0
69;1;1;56;56;1;5;5;2;0.1;0;0;1;1
69;1;1;56;56;1;5;5;2;0.1;0.5;0;1;0.5
69;1;1;56;56;1;5;5;2;0.1;1;0;1;0
69;1;743;1000;258;62;84;23;2;0.1;0;0;0;1
69;1;743;1000;258;62;84;23;2;0.1;0.5;0;0;0.5
69;1;743;1000;258;62;84;23;2;0.1;1;0;0;0
69;2;58;520;463;5;44;40;2;0.1;0;0;1;1
69;2;58;520;463;5;44;40;2;0.1;0.5;0;1;0.5
69;2;58;520;463;5;44;40;2;0.1;1;0;1;0
69;3;522;694;173;44;58;15;2;0.1;0;0;1;1
69;3;522;694;173;44;58;15;2;0.1;0.5;0;1;0.5
69;3;522;694;173;44;58;15;2;0.1;1;0;1;0
69;4;696;741;46;58;62;5;2;0.1;0;0;1;1
69;4;696;741;46;58;62;5;2;0.1;0.5;0;1;0.5
69;4;696;741;46;58;62;5;2;0.1;1;0;1;0
70;1;1;207;207;1;18;18;2;0.1;0;0;1;1
70;1;1;207;207;1;18;18;2;0.1;0.5;0;1;0.5
70;1;1;207;207;1;18;18;2;0.1;1;0;1;0
70;1;753;1000;248;63;84;22;2;0.1;0;0;0;1
70;1;753;1000;248;63;84;22;2;0.1;0.5;0;0;0.5
70;1;753;1000;248;63;84;22;2;0.1;1;0;0;0
70;2;209;433;225;18;37;20;2;0.1;0;0;1;1
70;2;209;433;225;18;37;20;2;0.1;0.5;0;1;0.5
70;2;209;433;225;18;37;20;2;0.1;1;0;1;0
70;3;435;751;317;37;63;27;2;0.1;0;0;1;1
70;3;435;751;317;37;63;27;2;0.1;0.5;0;1;0.5
70;3;435;751;317;37;63;27;2;0.1;1;0;1;0
71;1;1;325;325;1;28;28;2;0.1;0;0;1;1
71;1;1;325;325;1;28;28;2;0.1;0.5;0;1;0.5
71;1;1;325;325;1;28;28;2;0.1;1;0;1;0
71;1;327;1000;674;28;84;57;2;0.1;0;0;0;1
71;1;327;1000;674;28;84;57;2;0.1;0.5;0;0;0.5
71;1;327;1000;674;28;84;57;2;0.1;1;0;0;0
72;1;1;426;426;1;36;36;2;0.1;0;0;1;1
72;1;1;426;426;1;36;36;2;0.1;0.5;0;1;0.5
72;1;1;426;426;1;36;36;2;0.1;1;0;1;0
72;1;543;1000;458;46;84;39;2;0.1;0;0;0;1
72;1;543;1000;458;46;84;39;2;0.1;0.5;0;0;0.5
72;1;543;1000;458;46;84;39;2;0.1;1;0;0;0
72;2;428;466;39;36;39;4;2;0.1;0;0;1;1
72;2;428;466;39;36;39;4;2;0.1;0.5;0;1;0.5
72;2;428;466;39;36;39;4;2;0.1;1;0;1;0
72;3;468;541;74;39;46;8;2;0.1;0;0;1;1
72;3;468;541;74;39;46;8;2;0.1;0.5;0;1;0.5
72;3;468;541;74;39;46;8;2;0.1;1;0;1;0
73;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
73;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
73;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
74;1;1;256;256;1;22;22;2;0.1;0;0;1;1
74;1;1;256;256;1;22;22;2;0.1;0.5;0;1;0.5
74;1;1;256;256;1;22;22;2;0.1;1;0;1;0
74;1;258;1000;743;22;84;63;2;0.1;0;0;0;1
74;1;258;1000;743;22;84;63;2;0.1;0.5;0;0;0.5
74;1;258;1000;743;22;84;63;2;0.1;1;0;0;0
75;1;1;841;841;1;71;71;2;0.1;0;0;1;1
75;1;1;841;841;1;71;71;2;0.1;0.5;0;1;0.5
75;1;1;841;841;1;71;71;2;0.1;1;0;1;0
75;1;843;1000;158;71;84;14;2;0.1;0;0;0;1
75;1;843;1000;158;71;84;14;2;0.1;0.5;0;0;0.5
75;1;843;1000;158;71;84;14;2;0.1;1;0;0;0
76;1;1;3;3;1;1;1;2;0.1;0;0;1;1
76;1;1;3;3;1;1;1;2;0.1;0.5;0;1;0.5
76;1;1;3;3;1;1;1;2;0.1;1;0;1;0
76;1;1000;1000;1;84;84;1;2;0.1;0;0;0;1
76;1;1000;1000;1;84;84;1;2;0.1;0.5;0;0;0.5
76;1;1000;1000;1;84;84;1;2;0.1;1;0;0;0
76;2;5;236;232;1;20;20;2;0.1;0;0;1;1
76;2;5;236;232;1;20;20;2;0.1;0.5;0;1;0.5
76;2;5;236;232;1;20;20;2;0.1;1;0;1;0
76;3;238;964;727;20;81;62;2;0.1;0;0;1;1
76;3;238;964;727;20;81;62;2;0.1;0.5;0;1;0.5
76;3;238;964;727;20;81;62;2;0.1;1;0;1;0
76;4;966;998;33;81;84;4;2;0.1;0;0;1;1
76;4;966;998;33;81;84;4;2;0.1;0.5;0;1;0.5
76;4;966;998;33;81;84;4;2;0.1;1;0;1;0
77;1;1;47;47;1;4;4;2;0.1;0;0;1;1
77;1;1;47;47;1;4;4;2;0.1;0.5;0;1;0.5
77;1;1;47;47;1;4;4;2;0.1;1;0;1;0
77;1;611;1000;390;51;84;34;2;0.1;0;0;0;1
77;1;611;1000;390;51;84;34;2;0.1;0.5;0;0;0.5
77;1;611;1000;390;51;84;34;2;0.1;1;0;0;0
77;2;49;609;561;5;51;47;2;0.1;0;0;1;1
77;2;49;609;561;5;51;47;2;0.1;0.5;0;1;0.5
77;2;49;609;561;5;51;47;2;0.1;1;0;1;0
78;1;1;256;256;1;22;22;2;0.1;0;0;1;1
78;1;1;256;256;1;22;22;2;0.1;0.5;0;1;0.5
78;1;1;256;256;1;22;22;2;0.1;1;0;1;0
78;1;942;1000;59;79;84;6;2;0.1;0;0;0;1
78;1;942;1000;59;79;84;6;2;0.1;0.5;0;0;0.5
78;1;942;1000;59;79;84;6;2;0.1;1;0;0;0
78;2;258;940;683;22;79;58;2;0.1;0;0;1;1
78;2;258;940;683;22;79;58;2;0.1;0.5;0;1;0.5
78;2;258;940;683;22;79;58;2;0.1;1;0;1;0
79;1;1;64;64;1;6;6;2;0.1;0;0;1;1
79;1;1;64;64;1;6;6;2;0.1;0.5;0;1;0.5
79;1;1;64;64;1;6;6;2;0.1;1;0;1;0
79;1;996;1000;5;83;84;2;2;0.1;0;0;0;1
79;1;996;1000;5;83;84;2;2;0.1;0.5;0;0;0.5
79;1;996;1000;5;83;84;2;2;0.1;1;0;0;0
79;2;66;365;300;6;31;26;2;0.1;0;0;1;1
79;2;66;365;300;6;31;26;2;0.1;0.5;0;1;0.5
79;2;66;365;300;6;31;26;2;0.1;1;0;1;0
79;3;367;994;628;31;83;53;2;0.1;0;0;1;1
79;3;367;994;628;31;83;53;2;0.1;0.5;0;1;0.5
79;3;367;994;628;31;83;53;2;0.1;1;0;1;0
80;1;1;697;697;1;59;59;2;0.1;0;0;1;1
80;1;1;697;697;1;59;59;2;0.1;0.5;0;1;0.5
80;1;1;697;697;1;59;59;2;0.1;1;0;1;0
80;1;930;1000;71;78;84;7;2;0.1;0;0;0;1
80;1;930;1000;71;78;84;7;2;0.1;0.5;0;0;0.5
80;1;930;1000;71;78;84;7;2;0.1;1;0;0;0
80;2;699;928;230;59;78;20;2;0.1;0;0;1;1
80;2;699;928;230;59;78;20;2;0.1;0.5;0;1;0.5
80;2;699;928;230;59;78;20;2;0.1;1;0;1;0
81;1;1;34;34;1;3;3;2;0.1;0;0;1;1
81;1;1;34;34;1;3;3;2;0.1;0.5;0;1;0.5
81;1;1;34;34;1;3;3;2;0.1;1;0;1;0
81;1;732;1000;269;61;84;24;2;0.1;0;0;0;1
81;1;732;1000;269;61;84;24;2;0.1;0.5;0;0;0.5
81;1;732;1000;269;61;84;24;2;0.1;1;0;0;0
81;2;36;273;238;3;23;21;2;0.1;0;0;1;1
81;2;36;273;238;3;23;21;2;0.1;0.5;0;1;0.5
81;2;36;273;238;3;23;21;2;0.1;1;0;1;0
81;3;275;730;456;23;61;39;2;0.1;0;0;1;1
81;3;275;730;456;23;61;39;2;0.1;0.5;0;1;0.5
81;3;275;730;456;23;61;39;2;0.1;1;0;1;0
82;1;1;183;183;1;16;16;2;0.1;0;0;1;1
82;1;1;183;183;1;16;16;2;0.1;0.5;0;1;0.5
82;1;1;183;183;1;16;16;2;0.1;1;0;1;0
82;1;185;1000;816;16;84;69;2;0.1;0;0;0;1
82;1;185;1000;816;16;84;69;2;0.1;0.5;0;0;0.5
82;1;185;1000;816;16;84;69;2;0.1;1;0;0;0
83;1;1;389;389;1;33;33;2;0.1;0;0;1;1
83;1;1;389;389;1;33;33;2;0.1;0.5;0;1;0.5
83;1;1;389;389;1;33;33;2;0.1;1;0;1;0
83;1;904;1000;97;76;84;9;2;0.1;0;0;0;1
83;1;904;1000;97;76;84;9;2;0.1;0.5;0;0;0.5
83;1;904;1000;97;76;84;9;2;0.1;1;0;0;0
83;2;391;879;489;33;74;42;2;0.1;0;0;1;1
83;2;391;879;489;33;74;42;2;0.1;0.5;0;1;0.5
83;2;391;879;489;33;74;42;2;0.1;1;0;1;0
83;3;881;902;22;74;76;3;2;0.1;0;0;1;1
83;3;881;902;22;74;76;3;2;0.1;0.5;0;1;0.5
83;3;881;902;22;74;76;3;2;0.1;1;0;1;0
84;1;1;48;48;1;4;4;2;0.1;0;0;1;1
84;1;1;48;48;1;4;4;2;0.1;0.5;0;1;0.5
84;1;1;48;48;1;4;4;2;0.1;1;0;1;0
84;1;519;1000;482;44;84;41;2;0.1;0;0;0;1
84;1;519;1000;482;44;84;41;2;0.1;0.5;0;0;0.5
84;1;519;1000;482;44;84;41;2;0.1;1;0;0;0
84;2;50;212;163;5;18;14;2;0.1;0;0;1;1
84;2;50;212;163;5;18;14;2;0.1;0.5;0;1;0.5
84;2;50;212;163;5;18;14;2;0.1;1;0;1;0
84;3;214;345;132;18;29;12;2;0.1;0;0;1;1
84;3;214;345;132;18;29;12;2;0.1;0.5;0;1;0.5
84;3;214;345;132;18;29;12;2;0.1;1;0;1;0
84;4;347;517;171;29;44;16;2;0.1;0;0;1;1
84;4;347;517;171;29;44;16;2;0.1;0.5;0;1;0.5
84;4;347;517;171;29;44;16;2;0.1;1;0;1;0
85;1;1;489;489;1;41;41;2;0.1;0;0;1;1
85;1;1;489;489;1;41;41;2;0.1;0.5;0;1;0.5
85;1;1;489;489;1;41;41;2;0.1;1;0;1;0
85;1;491;1000;510;41;84;44;2;0.1;0;0;0;1
85;1;491;1000;510;41;84;44;2;0.1;0.5;0;0;0.5
85;1;491;1000;510;41;84;44;2;0.1;1;0;0;0
86;1;1;983;983;1;82;82;2;0.1;0;0;1;1
86;1;1;983;983;1;82;82;2;0.1;0.5;0;1;0.5
86;1;1;983;983;1;82;82;2;0.1;1;0;1;0
86;1;985;1000;16;83;84;2;2;0.1;0;0;0;1
86;1;985;1000;16;83;84;2;2;0.1;0.5;0;0;0.5
86;1;985;1000;16;83;84;2;2;0.1;1;0;0;0
87;1;1;110;110;1;10;10;2;0.1;0;0;1;1
87;1;1;110;110;1;10;10;2;0.1;0.5;0;1;0.5
87;1;1;110;110;1;10;10;2;0.1;1;0;1;0
87;1;573;1000;428;48;84;37;2;0.1;0;0;0;1
87;1;573;1000;428;48;84;37;2;0.1;0.5;0;0;0.5
87;1;573;1000;428;48;84;37;2;0.1;1;0;0;0
87;2;112;379;268;10;32;23;2;0.1;0;0;1;1
87;2;112;379;268;10;32;23;2;0.1;0.5;0;1;0.5
87;2;112;379;268;10;32;23;2;0.1;1;0;1;0
87;3;381;420;40;32;35;4;2;0.1;0;0;1;1
87;3;381;420;40;32;35;4;2;0.1;0.5;0;1;0.5
87;3;381;420;40;32;35;4;2;0.1;1;0;1;0
87;4;422;571;150;36;48;13;2;0.1;0;0;1;1
87;4;422;571;150;36;48;13;2;0.1;0.5;0;1;0.5
87;4;422;571;150;36;48;13;2;0.1;1;0;1;0
88;1;1;389;389;1;33;33;2;0.1;0;0;1;1
88;1;1;389;389;1;33;33;2;0.1;0.5;0;1;0.5
88;1;1;389;389;1;33;33;2;0.1;1;0;1;0
88;1;391;1000;610;33;84;52;2;0.1;0;0;0;1
88;1;391;1000;610;33;84;52;2;0.1;0.5;0;0;0.5
88;1;391;1000;610;33;84;52;2;0.1;1;0;0;0
89;1;1;852;852;1;71;71;2;0.1;0;0;1;1
89;1;1;852;852;1;71;71;2;0.1;0.5;0;1;0.5
89;1;1;852;852;1;71;71;2;0.1;1;0;1;0
89;1;916;1000;85;77;84;8;2;0.1;0;0;0;1
89;1;916;1000;85;77;84;8;2;0.1;0.5;0;0;0.5
89;1;916;1000;85;77;84;8;2;0.1;1;0;0;0
89;2;854;914;61;72;77;6;2;0.1;0;0;1;1
89;2;854;914;61;72;77;6;2;0.1;0.5;0;1;0.5
89;2;854;914;61;72;77;6;2;0.1;1;0;1;0
90;1;1;318;318;1;27;27;2;0.1;0;0;1;1
90;1;1;318;318;1;27;27;2;0.1;0.5;0;1;0.5
90;1;1;318;318;1;27;27;2;0.1;1;0;1;0
90;1;885;1000;116;74;84;11;2;0.1;0;0;0;1
90;1;885;1000;116;74;84;11;2;0.1;0.5;0;0;0.5
90;1;885;1000;116;74;84;11;2;0.1;1;0;0;0
90;2;320;447;128;27;38;12;2;0.1;0;0;1;1
90;2;320;447;128;27;38;12;2;0.1;0.5;0;1;0.5
90;2;320;447;128;27;38;12;2;0.1;1;0;1;0
90;3;449;883;435;38;74;37;2;0.1;0;0;1;1
90;3;449;883;435;38;74;37;2;0.1;0.5;0;1;0.5
90;3;449;883;435;38;74;37;2;0.1;1;0;1;0
91;1;1;380;380;1;32;32;2;0.1;0;0;1;1
91;1;1;380;380;1;32;32;2;0.1;0.5;0;1;0.5
91;1;1;380;380;1;32;32;2;0.1;1;0;1;0
91;1;382;1000;619;32;84;53;2;0.1;0;0;0;1
91;1;382;1000;619;32;84;53;2;0.1;0.5;0;0;0.5
91;1;382;1000;619;32;84;53;2;0.1;1;0;0;0
92;1;1;17;17;1;2;2;2;0.1;0;0;1;1
92;1;1;17;17;1;2;2;2;0.1;0.5;0;1;0.5
92;1;1;17;17;1;2;2;2;0.1;1;0;1;0
92;1;232;1000;769;20;84;65;2;0.1;0;0;0;1
92;1;232;1000;769;20;84;65;2;0.1;0.5;0;0;0.5
92;1;232;1000;769;20;84;65;2;0.1;1;0;0;0
92;2;19;230;212;2;20;19;2;0.1;0;0;1;1
92;2;19;230;212;2;20;19;2;0.1;0.5;0;1;0.5
92;2;19;230;212;2;20;19;2;0.1;1;0;1;0
93;1;1;149;149;1;13;13;2;0.1;0;0;1;1
93;1;1;149;149;1;13;13;2;0.1;0.5;0;1;0.5
93;1;1;149;149;1;13;13;2;0.1;1;0;1;0
93;1;421;1000;580;36;84;49;2;0.1;0;0;0;1
93;1;421;1000;580;36;84;49;2;0.1;0.5;0;0;0.5
93;1;421;1000;580;36;84;49;2;0.1;1;0;0;0
93;2;151;419;269;13;35;23;2;0.1;0;0;1;1
93;2;151;419;269;13;35;23;2;0.1;0.5;0;1;0.5
93;2;151;419;269;13;35;23;2;0.1;1;0;1;0
94;1;1;96;96;1;8;8;2;0.1;0;0;1;1
94;1;1;96;96;1;8;8;2;0.1;0.5;0;1;0.5
94;1;1;96;96;1;8;8;2;0.1;1;0;1;0
94;1;606;1000;395;51;84;34;2;0.1;0;0;0;1
94;1;606;1000;395;51;84;34;2;0.1;0.5;0;0;0.5
94;1;606;1000;395;51;84;34;2;0.1;1;0;0;0
94;2;98;224;127;9;19;11;2;0.1;0;0;1;1
94;2;98;224;127;9;19;11;2;0.1;0.5;0;1;0.5
94;2;98;224;127;9;19;11;2;0.1;1;0;1;0
94;3;226;366;141;19;31;13;2;0.1;0;0;1;1
94;3;226;366;141;19;31;13;2;0.1;0.5;0;1;0.5
94;3;226;366;141;19;31;13;2;0.1;1;0;1;0
94;4;368;604;237;31;51;21;2;0.1;0;0;1;1
94;4;368;604;237;31;51;21;2;0.1;0.5;0;1;0.5
94;4;368;604;237;31;51;21;2;0.1;1;0;1;0
95;1;1;48;48;1;4;4;2;0.1;0;0;1;1
95;1;1;48;48;1;4;4;2;0.1;0.5;0;1;0.5
95;1;1;48;48;1;4;4;2;0.1;1;0;1;0
95;1;930;1000;71;78;84;7;2;0.1;0;0;0;1
95;1;930;1000;71;78;84;7;2;0.1;0.5;0;0;0.5
95;1;930;1000;71;78;84;7;2;0.1;1;0;0;0
95;2;50;292;243;5;25;21;2;0.1;0;0;1;1
95;2;50;292;243;5;25;21;2;0.1;0.5;0;1;0.5
95;2;50;292;243;5;25;21;2;0.1;1;0;1;0
